Calculation1,School,City,County/State/ Territory,Count,All,Female,Male
BALDWIN PARK HIGH SCHOOL50225,BALDWIN PARK HIGH SCHOOL,Baldwin Park,Los Angeles,Adm,12,9,3
BALDWIN PARK HIGH SCHOOL50225,BALDWIN PARK HIGH SCHOOL,Baldwin Park,Los Angeles,Enr,6,5,
BARSTOW HIGH SCHOOL50235,BARSTOW HIGH SCHOOL,Barstow,San Bernardino,Adm,4,4,
BASSETT HIGH SCHOOL50238,BASSETT HIGH SCHOOL,La Puente,Los Angeles,App,18,11,7
BASSETT HIGH SCHOOL50238,BASSETT HIGH SCHOOL,La Puente,Los Angeles,Adm,8,5,3
BEAR CREEK HIGH SCHOOL53436,BEAR CREEK HIGH SCHOOL,Stockton,San Joaquin,App,21,9,12
BEAR CREEK HIGH SCHOOL53436,BEAR CREEK HIGH SCHOOL,Stockton,San Joaquin,Adm,12,4,8
BEAR RIVER HIGH SCHOOL51092,BEAR RIVER HIGH SCHOOL,Grass Valley,Nevada,App,12,9,
BEAR RIVER HIGH SCHOOL51092,BEAR RIVER HIGH SCHOOL,Grass Valley,Nevada,Adm,5,3,
BEAUMONT HIGH SCHOOL50240,BEAUMONT HIGH SCHOOL,Beaumont,Riverside,App,27,16,11
BEAUMONT HIGH SCHOOL50240,BEAUMONT HIGH SCHOOL,Beaumont,Riverside,Adm,17,11,6
BEAUMONT HIGH SCHOOL50240,BEAUMONT HIGH SCHOOL,Beaumont,Riverside,Enr,5,3,
BELL GARDENS SENIOR HS50265,BELL GARDENS SENIOR HS,Bell Gardens,Los Angeles,App,50,36,14
BELL GARDENS SENIOR HS50265,BELL GARDENS SENIOR HS,Bell Gardens,Los Angeles,Adm,17,11,6
BELL GARDENS SENIOR HS50265,BELL GARDENS SENIOR HS,Bell Gardens,Los Angeles,Enr,5,3,
BELL HIGH SCHOOL50245,BELL HIGH SCHOOL,Bell,Los Angeles,App,66,37,28
BELL HIGH SCHOOL50245,BELL HIGH SCHOOL,Bell,Los Angeles,Adm,20,8,12
BELL HIGH SCHOOL50245,BELL HIGH SCHOOL,Bell,Los Angeles,Enr,3,3,
BELLA VISTA HIGH SCHOOL50912,BELLA VISTA HIGH SCHOOL,Fair Oaks,Sacramento,App,34,18,16
BELLA VISTA HIGH SCHOOL50912,BELLA VISTA HIGH SCHOOL,Fair Oaks,Sacramento,Adm,13,5,8
BELLFLOWER HIGH SCHOOL50255,BELLFLOWER HIGH SCHOOL,Bellflower,Los Angeles,App,24,17,7
BELLFLOWER HIGH SCHOOL50255,BELLFLOWER HIGH SCHOOL,Bellflower,Los Angeles,Adm,11,9,
BELLFLOWER HIGH SCHOOL50255,BELLFLOWER HIGH SCHOOL,Bellflower,Los Angeles,Enr,6,5,
BENICIA HIGH SCHOOL50280,BENICIA HIGH SCHOOL,Benicia,Solano,App,59,34,25
BENICIA HIGH SCHOOL50280,BENICIA HIGH SCHOOL,Benicia,Solano,Adm,18,10,8
BERKELEY HIGH SCHOOL50290,BERKELEY HIGH SCHOOL,Berkeley,Alameda,App,257,146,111
BERKELEY HIGH SCHOOL50290,BERKELEY HIGH SCHOOL,Berkeley,Alameda,Adm,82,56,26
