Calculation1,School,City,County/State/ Territory,Count,All,Female,Male
BEAR CREEK HIGH SCHOOL53436,BEAR CREEK HIGH SCHOOL,Stockton,San Joaquin,Adm,3,,
BEAR CREEK HIGH SCHOOL53436,BEAR CREEK HIGH SCHOOL,Stockton,San Joaquin,Enr,3,,
BEAUMONT HIGH SCHOOL50240,BEAUMONT HIGH SCHOOL,Beaumont,Riverside,App,42,24,18
BEAUMONT HIGH SCHOOL50240,BEAUMONT HIGH SCHOOL,Beaumont,Riverside,Adm,4,,
BELL GARDENS SENIOR HS50265,BELL GARDENS SENIOR HS,Bell Gardens,Los Angeles,App,73,50,23
BELL GARDENS SENIOR HS50265,BELL GARDENS SENIOR HS,Bell Gardens,Los Angeles,Adm,6,5,
BELL GARDENS SENIOR HS50265,BELL GARDENS SENIOR HS,Bell Gardens,Los Angeles,Enr,5,4,
BELL HIGH SCHOOL50245,BELL HIGH SCHOOL,Bell,Los Angeles,App,86,50,34
BELL HIGH SCHOOL50245,BELL HIGH SCHOOL,Bell,Los Angeles,Adm,13,8,5
BELL HIGH SCHOOL50245,BELL HIGH SCHOOL,Bell,Los Angeles,Enr,5,5,
BELLA VISTA HIGH SCHOOL50912,BELLA VISTA HIGH SCHOOL,Fair Oaks,Sacramento,App,35,11,24
BELLA VISTA HIGH SCHOOL50912,BELLA VISTA HIGH SCHOOL,Fair Oaks,Sacramento,Adm,4,,4
BELLA VISTA HIGH SCHOOL50912,BELLA VISTA HIGH SCHOOL,Fair Oaks,Sacramento,Enr,3,,3
BELLFLOWER HIGH SCHOOL50255,BELLFLOWER HIGH SCHOOL,Bellflower,Los Angeles,App,37,23,14
BELLFLOWER HIGH SCHOOL50255,BELLFLOWER HIGH SCHOOL,Bellflower,Los Angeles,Adm,6,,4
