Calculation1,School,City,County/State/ Territory,Count,All,Female,Male
AMERICAN INDIAN PUBLIC SCHOOL54176,AMERICAN INDIAN PUBLIC SCHOOL,Oakland,Alameda,App,47,22,25
AMERICAN INDIAN PUBLIC SCHOOL54176,AMERICAN INDIAN PUBLIC SCHOOL,Oakland,Alameda,Adm,31,16,15
AMERICAN INDIAN PUBLIC SCHOOL54176,AMERICAN INDIAN PUBLIC SCHOOL,Oakland,Alameda,Enr,3,,3
ANAHEIM HIGH SCHOOL50090,ANAHEIM HIGH SCHOOL,Anaheim,Orange,App,41,27,14
ANAHEIM HIGH SCHOOL50090,ANAHEIM HIGH SCHOOL,Anaheim,Orange,Adm,16,11,5
ANALY HIGH SCHOOL53345,ANALY HIGH SCHOOL,Sebastopol,Sonoma,App,24,16,8
ANALY HIGH SCHOOL53345,ANALY HIGH SCHOOL,Sebastopol,Sonoma,Adm,16,13,3
ANDREW P HILL HIGH SCHOOL53077,ANDREW P HILL HIGH SCHOOL,San Jose,Santa Clara,App,40,19,20
ANDREW P HILL HIGH SCHOOL53077,ANDREW P HILL HIGH SCHOOL,San Jose,Santa Clara,Adm,19,9,9
ANGELO RODRIGUEZ HIGH SCHOOL50919,ANGELO RODRIGUEZ HIGH SCHOOL,Fairfield,Solano,App,39,24,15
ANGELO RODRIGUEZ HIGH SCHOOL50919,ANGELO RODRIGUEZ HIGH SCHOOL,Fairfield,Solano,Adm,26,17,9
ANGELO RODRIGUEZ HIGH SCHOOL50919,ANGELO RODRIGUEZ HIGH SCHOOL,Fairfield,Solano,Enr,7,4,3
ANIMO JACKIE ROBINSON CHRT SCH54199,ANIMO JACKIE ROBINSON CHRT SCH,Los Angeles,Los Angeles,App,31,19,12
ANIMO JACKIE ROBINSON CHRT SCH54199,ANIMO JACKIE ROBINSON CHRT SCH,Los Angeles,Los Angeles,Adm,16,12,4
ANIMO LEADERSHIP CHARTER HS51257,ANIMO LEADERSHIP CHARTER HS,Inglewood,Los Angeles,App,43,32,11
ANIMO LEADERSHIP CHARTER HS51257,ANIMO LEADERSHIP CHARTER HS,Inglewood,Los Angeles,Adm,25,19,6
ANIMO LEADERSHIP CHARTER HS51257,ANIMO LEADERSHIP CHARTER HS,Inglewood,Los Angeles,Enr,6,4,
ANIMO RALPH BUNCHE CHARTER HS54259,ANIMO RALPH BUNCHE CHARTER HS,Los Angeles,Los Angeles,App,24,18,6
ANIMO RALPH BUNCHE CHARTER HS54259,ANIMO RALPH BUNCHE CHARTER HS,Los Angeles,Los Angeles,Adm,14,11,3
ANIMO RALPH BUNCHE CHARTER HS54259,ANIMO RALPH BUNCHE CHARTER HS,Los Angeles,Los Angeles,Enr,3,,
ANIMO S LOS ANGELES CHARTER HS53975,ANIMO S LOS ANGELES CHARTER HS,Los Angeles,Los Angeles,App,10,5,5
ANIMO S LOS ANGELES CHARTER HS53975,ANIMO S LOS ANGELES CHARTER HS,Los Angeles,Los Angeles,Adm,8,3,5
ANN SOBRATO HIGH SCHOOL53906,ANN SOBRATO HIGH SCHOOL,Morgan Hill,Santa Clara,App,59,34,25
ANN SOBRATO HIGH SCHOOL53906,ANN SOBRATO HIGH SCHOOL,Morgan Hill,Santa Clara,Adm,45,25,20
ANN SOBRATO HIGH SCHOOL53906,ANN SOBRATO HIGH SCHOOL,Morgan Hill,Santa Clara,Enr,8,3,5
ANTELOPE HIGH SCHOOL54250,ANTELOPE HIGH SCHOOL,Antelope,Sacramento,App,16,13,
ANTELOPE HIGH SCHOOL54250,ANTELOPE HIGH SCHOOL,Antelope,Sacramento,Adm,10,7,3
ANTELOPE VALLEY HIGH SCHOOL51355,ANTELOPE VALLEY HIGH SCHOOL,Lancaster,Los Angeles,App,14,10,
ANTELOPE VALLEY HIGH SCHOOL51355,ANTELOPE VALLEY HIGH SCHOOL,Lancaster,Los Angeles,Adm,4,3,
ANTIOCH HIGH SCHOOL50115,ANTIOCH HIGH SCHOOL,Antioch,Contra Costa,App,16,11,5
ANTIOCH HIGH SCHOOL50115,ANTIOCH HIGH SCHOOL,Antioch,Contra Costa,Adm,9,6,3
APPLIED TECHNOLOGY CENTER54607,APPLIED TECHNOLOGY CENTER,Montebello,Los Angeles,App,14,7,7
APPLIED TECHNOLOGY CENTER54607,APPLIED TECHNOLOGY CENTER,Montebello,Los Angeles,Adm,9,4,5
APTOS HIGH SCHOOL50119,APTOS HIGH SCHOOL,Aptos,Santa Cruz,App,29,16,13
APTOS HIGH SCHOOL50119,APTOS HIGH SCHOOL,Aptos,Santa Cruz,Adm,18,9,9
APTOS HIGH SCHOOL50119,APTOS HIGH SCHOOL,Aptos,Santa Cruz,Enr,3,,
ARAGON HIGH SCHOOL53163,ARAGON HIGH SCHOOL,San Mateo,San Mateo,App,113,68,44
ARAGON HIGH SCHOOL53163,ARAGON HIGH SCHOOL,San Mateo,San Mateo,Adm,79,47,31
ARAGON HIGH SCHOOL53163,ARAGON HIGH SCHOOL,San Mateo,San Mateo,Enr,11,4,6
ARCADIA HIGH SCHOOL50130,ARCADIA HIGH SCHOOL,Arcadia,Los Angeles,App,160,81,79
ARCADIA HIGH SCHOOL50130,ARCADIA HIGH SCHOOL,Arcadia,Los Angeles,Adm,89,47,42
ARCADIA HIGH SCHOOL50130,ARCADIA HIGH SCHOOL,Arcadia,Los Angeles,Enr,10,3,7
ARCATA HIGH SCHOOL50135,ARCATA HIGH SCHOOL,Arcata,Humboldt,App,24,16,8
ARCATA HIGH SCHOOL50135,ARCATA HIGH SCHOOL,Arcata,Humboldt,Adm,20,13,7
ARCATA HIGH SCHOOL50135,ARCATA HIGH SCHOOL,Arcata,Humboldt,Enr,8,4,4
ARGONAUT HIGH SCHOOL51275,ARGONAUT HIGH SCHOOL,Jackson,Amador,Adm,4,3,
ARMIJO HIGH SCHOOL50910,ARMIJO HIGH SCHOOL,Fairfield,Solano,App,21,10,11
ARMIJO HIGH SCHOOL50910,ARMIJO HIGH SCHOOL,Fairfield,Solano,Adm,16,8,8
ARNOLD O BECKMAN HIGH SCHOOL51267,ARNOLD O BECKMAN HIGH SCHOOL,Irvine,Orange,App,96,50,46
ARNOLD O BECKMAN HIGH SCHOOL51267,ARNOLD O BECKMAN HIGH SCHOOL,Irvine,Orange,Adm,75,40,35
ARNOLD O BECKMAN HIGH SCHOOL51267,ARNOLD O BECKMAN HIGH SCHOOL,Irvine,Orange,Enr,3,,3
ARROYO GRANDE HIGH SCHOOL50150,ARROYO GRANDE HIGH SCHOOL,Arroyo Grande,San Luis Obispo,App,47,30,17
ARROYO GRANDE HIGH SCHOOL50150,ARROYO GRANDE HIGH SCHOOL,Arroyo Grande,San Luis Obispo,Adm,30,20,10
