Calculation1,School,City,County/State/ Territory,Count,All,Female,Male,Unknown
MARYLAND990299,MARYLAND,,MD,Adm,3,,3,
MARYSVILLE GETCHELL HIGH SCHL481640,MARYSVILLE GETCHELL HIGH SCHL,Marysville,WA,App,8,6,,
MARYSVILLE GETCHELL HIGH SCHL481640,MARYSVILLE GETCHELL HIGH SCHL,Marysville,WA,Adm,4,3,,
MASSACHUSETTS990300,MASSACHUSETTS,,MA,Adm,3,,,
MASTERS SCHOOL THE331635,MASTERS SCHOOL THE,Dobbs Ferry,NY,App,10,5,5,
MASTERS SCHOOL THE331635,MASTERS SCHOOL THE,Dobbs Ferry,NY,Adm,9,4,5,
MATIGNON HIGH SCHOOL220515,MATIGNON HIGH SCHOOL,Cambridge,MA,App,12,,8,
MATIGNON HIGH SCHOOL220515,MATIGNON HIGH SCHOOL,Cambridge,MA,Adm,7,,6,
MATIGNON HIGH SCHOOL220515,MATIGNON HIGH SCHOOL,Cambridge,MA,Enr,4,,3,
MAUI HIGH SCHOOL120000,MAUI HIGH SCHOOL,Kahului,HI,App,8,,5,
MAUI HIGH SCHOOL120000,MAUI HIGH SCHOOL,Kahului,HI,Adm,7,3,4,
MAUMEE VALLEY COUNTRY DAY SCH363300,MAUMEE VALLEY COUNTRY DAY SCH,Toledo,OH,App,10,5,5,
MAUMEE VALLEY COUNTRY DAY SCH363300,MAUMEE VALLEY COUNTRY DAY SCH,Toledo,OH,Adm,8,3,5,
MAUMEE VALLEY COUNTRY DAY SCH363300,MAUMEE VALLEY COUNTRY DAY SCH,Toledo,OH,Enr,4,,3,
MAUR HILL-MOUNT ACADEMY170145,MAUR HILL-MOUNT ACADEMY,Atchison,KS,Adm,4,,3,
MCCALLIE SCHOOL430315,MCCALLIE SCHOOL,Chattanooga,TN,App,12,,12,
MCCALLIE SCHOOL430315,MCCALLIE SCHOOL,Chattanooga,TN,Adm,7,,7,
MCCLINTOCK HIGH SCHOOL30433,MCCLINTOCK HIGH SCHOOL,Tempe,AZ,App,6,6,,
MCCLINTOCK HIGH SCHOOL30433,MCCLINTOCK HIGH SCHOOL,Tempe,AZ,Adm,4,4,,
MCDONOGH SCHOOL210750,MCDONOGH SCHOOL,Owings Mills,MD,App,10,5,5,
MCDONOGH SCHOOL210750,MCDONOGH SCHOOL,Owings Mills,MD,Adm,8,4,4,
MCINTOSH HIGH SCHOOL112360,MCINTOSH HIGH SCHOOL,Peachtree City,GA,App,6,,,
MCINTOSH HIGH SCHOOL112360,MCINTOSH HIGH SCHOOL,Peachtree City,GA,Adm,4,,3,
MCKINLEY HIGH SCHOOL120070,MCKINLEY HIGH SCHOOL,Honolulu,HI,App,5,,,
