Calculation1,School,City,County/State/ Territory,Count,All,Female,Male
BEVERLY HILLS HIGH SCHOOL50320,BEVERLY HILLS HIGH SCHOOL,Beverly Hills,Los Angeles,Enr,4,,3
BIRMINGHAM COMMUNITY HS53615,BIRMINGHAM COMMUNITY HS,Lake Balboa,Los Angeles,App,80,51,29
BIRMINGHAM COMMUNITY HS53615,BIRMINGHAM COMMUNITY HS,Lake Balboa,Los Angeles,Adm,16,12,4
BLAIR HIGH SCHOOL52373,BLAIR HIGH SCHOOL,Pasadena,Los Angeles,App,11,8,
BLAIR HIGH SCHOOL52373,BLAIR HIGH SCHOOL,Pasadena,Los Angeles,Adm,3,3,
BLOOMINGTON HIGH SCHOOL50348,BLOOMINGTON HIGH SCHOOL,Bloomington,San Bernardino,App,55,37,18
BLOOMINGTON HIGH SCHOOL50348,BLOOMINGTON HIGH SCHOOL,Bloomington,San Bernardino,Adm,6,3,3
BLOOMINGTON HIGH SCHOOL50348,BLOOMINGTON HIGH SCHOOL,Bloomington,San Bernardino,Enr,3,,
BOLSA GRANDE HIGH SCHOOL51028,BOLSA GRANDE HIGH SCHOOL,Garden Grove,Orange,App,103,61,42
BOLSA GRANDE HIGH SCHOOL51028,BOLSA GRANDE HIGH SCHOOL,Garden Grove,Orange,Adm,34,21,13
BOLSA GRANDE HIGH SCHOOL51028,BOLSA GRANDE HIGH SCHOOL,Garden Grove,Orange,Enr,13,7,6
BONITA HIGH SCHOOL51370,BONITA HIGH SCHOOL,La Verne,Los Angeles,App,86,48,38
BONITA HIGH SCHOOL51370,BONITA HIGH SCHOOL,La Verne,Los Angeles,Adm,28,12,16
BONITA HIGH SCHOOL51370,BONITA HIGH SCHOOL,La Verne,Los Angeles,Enr,4,,3
BONITA VISTA HIGH SCHOOL50572,BONITA VISTA HIGH SCHOOL,Chula Vista,San Diego,App,81,43,38
BONITA VISTA HIGH SCHOOL50572,BONITA VISTA HIGH SCHOOL,Chula Vista,San Diego,Adm,35,21,14
BONITA VISTA HIGH SCHOOL50572,BONITA VISTA HIGH SCHOOL,Chula Vista,San Diego,Enr,18,12,6
BONSALL HIGH SCHOOL54793,BONSALL HIGH SCHOOL,Bonsall,San Diego,App,7,,
BONSALL HIGH SCHOOL54793,BONSALL HIGH SCHOOL,Bonsall,San Diego,Adm,6,3,3
BRANHAM HIGH SCHOOL53082,BRANHAM HIGH SCHOOL,San Jose,Santa Clara,App,83,46,37
BRANHAM HIGH SCHOOL53082,BRANHAM HIGH SCHOOL,San Jose,Santa Clara,Adm,20,10,10
BRANHAM HIGH SCHOOL53082,BRANHAM HIGH SCHOOL,San Jose,Santa Clara,Enr,4,,3
BREA OLINDA HIGH SCHOOL50370,BREA OLINDA HIGH SCHOOL,Brea,Orange,App,69,38,31
BREA OLINDA HIGH SCHOOL50370,BREA OLINDA HIGH SCHOOL,Brea,Orange,Adm,19,9,10
BREA OLINDA HIGH SCHOOL50370,BREA OLINDA HIGH SCHOOL,Brea,Orange,Enr,4,,4
BRIGHT STAR SECONDARY ACADEMY54207,BRIGHT STAR SECONDARY ACADEMY,Los Angeles,Los Angeles,App,16,8,8
BRIGHT STAR SECONDARY ACADEMY54207,BRIGHT STAR SECONDARY ACADEMY,Los Angeles,Los Angeles,Adm,5,3,
BUCKINGHAM COLLEGIATE CHR ACDM53596,BUCKINGHAM COLLEGIATE CHR ACDM,Vacaville,Solano,App,15,7,8
BUCKINGHAM COLLEGIATE CHR ACDM53596,BUCKINGHAM COLLEGIATE CHR ACDM,Vacaville,Solano,Adm,8,3,5
BUENA HIGH SCHOOL53647,BUENA HIGH SCHOOL,Ventura,Ventura,App,20,11,9
BUENA HIGH SCHOOL53647,BUENA HIGH SCHOOL,Ventura,Ventura,Adm,10,3,7
BUENA HIGH SCHOOL53647,BUENA HIGH SCHOOL,Ventura,Ventura,Enr,3,,3
BUENA PARK HIGH SCHOOL50378,BUENA PARK HIGH SCHOOL,Buena Park,Orange,App,38,23,15
BUENA PARK HIGH SCHOOL50378,BUENA PARK HIGH SCHOOL,Buena Park,Orange,Adm,11,5,6
BUHACH COLONY HIGH SCHOOL50181,BUHACH COLONY HIGH SCHOOL,Atwater,Merced,App,30,13,17
