Calculation1,School,City,County/State/Country,App GPA,Adm GPA,Enrl GPA
BEIJING ROYAL SCHOOL694209,BEIJING ROYAL SCHOOL,n/a ,"CHINA, PEOPLES REPUBLIC",4,4.01,4.01
BEIJING WORLD YOUTH ACADEMY694369,BEIJING WORLD YOUTH ACADEMY,n/a ,"CHINA, PEOPLES REPUBLIC",3.86,3.91,
BIG HEART CHRISTIAN SCHOOL682350,BIG HEART CHRISTIAN SCHOOL,n/a ,"KOREA, REPUBLIC OF (SOUTH)",4,4.02,
BINUS INTRNTL SCHOOL-SIMPRUG672106,BINUS INTRNTL SCHOOL-SIMPRUG,n/a ,INDONESIA,3.68,3.88,
BISHOP COTTON BOYS SCHOOL671072,BISHOP COTTON BOYS SCHOOL,n/a ,INDIA,3.77,3.71,
BISHOP STRACHAN SCHOOL826756,BISHOP STRACHAN SCHOOL,n/a ,CANADA,4.13,4.1,
BRANKSOME HALL ASIA682210,BRANKSOME HALL ASIA,n/a ,"KOREA, REPUBLIC OF (SOUTH)",4,4.02,
BRANKSOME HALL SCHOOL826765,BRANKSOME HALL SCHOOL,n/a ,CANADA,4.26,4.26,
BRAZIL990006,BRAZIL,n/a ,,3.26,3.52,
BRENT INTERNATIONAL SCH MANILA705450,BRENT INTERNATIONAL SCH MANILA,n/a ,PHILIPPINES,3.89,,
BRENTWOOD COLLEGE SCHOOL821060,BRENTWOOD COLLEGE SCHOOL,n/a ,CANADA,3.77,3.82,
BRITISH COLUMBIA ACADEMY694214,BRITISH COLUMBIA ACADEMY,n/a ,"CHINA, PEOPLES REPUBLIC",3.64,3.67,
BRITISH INTRNTL SCHL SHANGHAI694326,BRITISH INTRNTL SCHL SHANGHAI,n/a ,"CHINA, PEOPLES REPUBLIC",3.52,,
BRITISH SCHOOL MANILA705380,BRITISH SCHOOL MANILA,n/a ,PHILIPPINES,3.83,,
BRITISH SCHOOL OF RIO910240,BRITISH SCHOOL OF RIO,n/a ,BRAZIL,3.99,,
BRITISH SCHOOL-RIO DE JANEIRO910241,BRITISH SCHOOL-RIO DE JANEIRO,n/a ,BRAZIL,3.87,3.93,
BUGIL ACADEMY682187,BUGIL ACADEMY,n/a ,"KOREA, REPUBLIC OF (SOUTH)",4.2,4.18,
BURNABY NORTH SECONDARY SCHOOL821028,BURNABY NORTH SECONDARY SCHOOL,n/a ,CANADA,3.7,,
BURNABY SOUTH SECONDARY SCHOOL821030,BURNABY SOUTH SECONDARY SCHOOL,n/a ,CANADA,4.14,,
BUSAN FOREIGN SCHOOL682022,BUSAN FOREIGN SCHOOL,n/a ,"KOREA, REPUBLIC OF (SOUTH)",3.9,3.89,
CAIRO AMERICAN COLLEGE648300,CAIRO AMERICAN COLLEGE,n/a ,EGYPT,3.72,,
CALCUTTA INTERNATIONAL SCHOOL671485,CALCUTTA INTERNATIONAL SCHOOL,n/a ,INDIA,3.96,,
CAMFORD ROYAL SCHOOL694230,CAMFORD ROYAL SCHOOL,n/a ,"CHINA, PEOPLES REPUBLIC",3.83,3.97,
CANADA990009,CANADA,n/a ,,3.79,3.85,3.89
CANADIAN INTERNATIONAL BEIJING694216,CANADIAN INTERNATIONAL BEIJING,n/a ,"CHINA, PEOPLES REPUBLIC",4.06,,
CANADIAN INTERNATIONAL SCHOOL671053,CANADIAN INTERNATIONAL SCHOOL,n/a ,INDIA,3.51,,
CANADIAN INTL SCH HONG KONG670017,CANADIAN INTL SCH HONG KONG,n/a ,HONG KONG,4.15,4.15,
CANADIAN INTRNTL SCHOOL-SINGAP687237,CANADIAN INTRNTL SCHOOL-SINGAP,n/a ,SINGAPORE,3.55,3.82,
CATHEDRAL & JOHN CONNON SCHOOL671160,CATHEDRAL & JOHN CONNON SCHOOL,n/a ,INDIA,4.02,4.02,
CEDAR COLLEGE690380,CEDAR COLLEGE,n/a ,PAKISTAN,3.27,,
CHADWICK INTERNATIONAL SCHOOL682171,CHADWICK INTERNATIONAL SCHOOL,n/a ,"KOREA, REPUBLIC OF (SOUTH)",4.04,4.06,4.14
CHANGJUN HIGH SCHOOL-CHANGSHA694265,CHANGJUN HIGH SCHOOL-CHANGSHA,n/a ,"CHINA, PEOPLES REPUBLIC",3.97,3.99,4.02
CHANGZHOU FOREIGN LANGUAGE SCHOOL694618,CHANGZHOU FOREIGN LANGUAGE SCHOOL,n/a ,"CHINA, PEOPLES REPUBLIC",3.5,3.62,
CHANGZHOU S/M JIANGSU PROVINCE694232,CHANGZHOU S/M JIANGSU PROVINCE,n/a ,"CHINA, PEOPLES REPUBLIC",4,4,
CHAPEL SCHOOL910750,CHAPEL SCHOOL,n/a ,BRAZIL,3.81,,
CHENG DU MEISHI INTRNTL SCHL694364,CHENG DU MEISHI INTRNTL SCHL,n/a ,"CHINA, PEOPLES REPUBLIC",3.73,,
CHENGDU FOREIGN LANGUAGE SCH694274,CHENGDU FOREIGN LANGUAGE SCH,n/a ,"CHINA, PEOPLES REPUBLIC",3.83,3.88,3.97
CHENGDU NO 7 HIGH SCHOOL694457,CHENGDU NO 7 HIGH SCHOOL,n/a ,"CHINA, PEOPLES REPUBLIC",3.74,3.79,3.76
CHENGDU SHISHI TIANFU HS694532,CHENGDU SHISHI TIANFU HS,n/a ,"CHINA, PEOPLES REPUBLIC",3.91,3.99,3.99
CHENGDU SHUDE HIGH SCHOOL694370,CHENGDU SHUDE HIGH SCHOOL,n/a ,"CHINA, PEOPLES REPUBLIC",3.83,3.87,
CHEONGNA DALTON SCHOOL682195,CHEONGNA DALTON SCHOOL,n/a ,"KOREA, REPUBLIC OF (SOUTH)",3.93,4.05,
CHEONGSHIM INTERNATIONAL ACAD682029,CHEONGSHIM INTERNATIONAL ACAD,n/a ,"KOREA, REPUBLIC OF (SOUTH)",4.07,4.15,
CHINA PEOPLES REPUB990010,CHINA PEOPLES REPUB,n/a ,,3.74,3.81,3.86
CHINESE INTERNATIONAL SCHOOL670035,CHINESE INTERNATIONAL SCHOOL,n/a ,HONG KONG,4.05,4.09,4.19
CHIREC INTERNATIONAL SCHOOL671684,CHIREC INTERNATIONAL SCHOOL,n/a ,INDIA,3.97,4.05,4.09
CHONGQING BACHUAN INTRNTL HS694028,CHONGQING BACHUAN INTRNTL HS,n/a ,"CHINA, PEOPLES REPUBLIC",3.56,3.56,
CHONGQING FOREIGN LANGUAGE SCH694412,CHONGQING FOREIGN LANGUAGE SCH,n/a ,"CHINA, PEOPLES REPUBLIC",4.07,4.07,4.06
CHONGQING NANKAI SECONDARY SCH694382,CHONGQING NANKAI SECONDARY SCH,n/a ,"CHINA, PEOPLES REPUBLIC",3.96,3.97,4.02
